11,0,0.000000000000000,0.87465,40.9,,,,,
13,0,0.000000000000000,0.32725,40.9,,,,,
18,0,0.000000000000000,0.60095,40.9,,,,,
12,0,0.000000000000000,0.60095,40.9,,,,,
19,0,0.000000000000000,0.32725,40.9,,,,,
17,0,0.000000000000000,0.87465,40.9,,,,,
7,1,53.715360494531500,0.16065,40.9,,,,,
29,-1,-96.147320754773900,0.43435,40.9,,,,,
1,1,-63.064841786120200,0.43435,40.9,,,,,
25,1,35.314260401998400,0.16065,40.9,,,,,
5,-1,30.860892880707900,0.70805,40.9,,,,,
23,1,30.864504738651600,0.70805,40.9,,,,,
6,1,-14.987331799876500,0.43435,40.9,,,,,
30,1,-15.913197681641000,0.16065,40.9,,,,,
2,1,37.248710762885100,0.16065,40.9,,,,,
15,1,19.349006599095400,-0.60095,40.9,,,,,
27,-1,19.541346302865200,-0.43435,40.9,,,,,
31,1,29.158774257991200,-0.16065,40.9,,,,,
24,1,16.207148935346700,0.43435,40.9,,,,,
8,-1,2.269607016952230,-0.16065,40.9,,,,,
28,1,-12.070767431760500,-0.70805,40.9,,,,,
21,-1,-10.698784612863100,-0.60095,40.9,,,,,
26,1,-8.414100872566850,-0.16065,40.9,,,,,
4,1,-16.020156983473600,-0.43435,40.9,,,,,
16,1,-11.042694166720400,-0.87465,40.9,,,,,
14,1,-0.367281287426265,-0.32725,40.9,,,,,
32,1,-3.840652125211200,-0.43435,40.9,,,,,
3,1,2.148763443148200,-0.16065,40.9,,,,,
20,1,1.374711842818400,-0.32725,40.9,,,,,
22,-1,-6.309775788244630,-0.87465,40.9,,,,,
